private_domain,dns_resolves,probe_status,http_status,final_url,page_title,probe_error,bl_scan_success,bl_final_url,bl_ddg_join_ads,bl_third_party_cookies,bl_canvas_fingerprinting,bl_session_recording,bl_key_logging,bl_fb_pixel,bl_google_analytics
eatthis.com,True,live,200.0,https://www.eatthis.com/,"Eat This, Not That: Health, Nutrition, Weight Loss & Recipes",,True,https://www.eatthis.com/,70.0,83.0,0.0,0.0,0.0,0.0,1.0
eggbuddies.com,True,live,200.0,https://eggbuddies.com/,Egg Buddies,,True,https://eggbuddies.com/,3.0,2.0,0.0,0.0,0.0,0.0,0.0
elfcosmetics.com,True,live,200.0,https://www.elfcosmetics.com/,e.l.f. Cosmetics: Affordable Makeup & Skincare - Cruelty Free | e.l.f. Cosmetics,,True,https://www.elfcosmetics.com/,2.0,0.0,0.0,0.0,0.0,0.0,0.0
employedusa.com,True,live,200.0,https://employedusa.com/,Home Page - Employed USA,,True,https://employedusa.com/,2.0,0.0,0.0,0.0,0.0,0.0,1.0
enginesurveys.com,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
entitlementopposition.com,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
equityapartments.com,True,live,200.0,https://equityapartments.com/,Home | EquityApartments.com,,True,https://equityapartments.com/,4.0,1.0,0.0,0.0,0.0,0.0,1.0
eu-1-id5-sync.com,True,dead,,,,http: ReadTimeout,True,https://eu-1-id5-sync.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
everyonesez.com,True,live,200.0,https://everyonesez.com/en,Welcome to EveryoneSez,,True,https://everyonesez.com/en,0.0,0.0,0.0,0.0,0.0,0.0,0.0
express.com,True,http_error,403.0,https://www.express.com/,Access Denied,,True,https://www.express.com/,3.0,2.0,1.0,0.0,0.0,0.0,0.0
fandom.com,True,http_error,403.0,https://www.fandom.com/,Just a moment...,,True,https://www.fandom.com/,34.0,21.0,0.0,0.0,0.0,0.0,1.0
fbcdnx14.net,True,redirect,200.0,https://www.squidapp.co/,Home - SQUID News App,,True,https://www.squidapp.co/,4.0,2.0,0.0,0.0,0.0,0.0,0.0
findfocusgroups.com,True,live,200.0,https://www.findfocusgroups.com/,Paid Focus Groups Near You & Online | FindFocusGroups.com,,True,https://www.findfocusgroups.com/,2.0,1.0,0.0,0.0,0.0,0.0,0.0
flxfy-host01.com,True,network_filtered,200.0,http://wired.meraki.com/,Cisco Meraki,https: ConnectionError,True,https://flxfy-host01.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fontsgeek.com,True,live,200.0,https://fontsgeek.com/,Fontsgeek : Download Thousands Of Cool Free Fonts For Windows And Mac.,,False,,,,,,,,
foreverstampshop.com,True,live,200.0,https://foreverstampshop.com/,USPSFASTSTAMPS,,True,https://foreverstampshop.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
freefilefillableforms.com,True,live,200.0,https://freefilefillableforms.com/home/default.php,Free File Fillable Forms,,True,https://freefilefillableforms.com/home/default.php,0.0,0.0,0.0,0.0,0.0,0.0,0.0
froghollow.com,True,http_error,409.0,http://froghollow.com/,DNS resolution error | froghollow.com | Cloudflare,https: SSLError,True,https://froghollow.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fybelle.com,True,live,200.0,https://fybelle.com/,,,True,https://fybelle.com/cgi-sys/defaultwebpage.cgi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ganbino.com,True,live,200.0,https://ganbino.com/,Loading...,,True,http://ww547.ganbino.com/,1.0,0.0,0.0,0.0,0.0,0.0,0.0
gap.com,True,live,200.0,https://www.gap.com/,"Gap Individual style for Women's, Men's, Baby & Kids' Clothing",,False,,,,,,,,
get663.com,True,dead,,,,http: ConnectionError,False,,,,,,,,
ghostery.net,True,http_error,403.0,http://ghostery.net/,ERROR: The request could not be satisfied,https: SSLError,False,,,,,,,,
google.com.mx,True,redirect,200.0,https://www.google.com/,Google,,True,https://www.google.com/,3.0,7.0,0.0,0.0,0.0,0.0,0.0
gotodobbs.com,True,live,200.0,https://www.gotodobbs.com/,Dobbs Tire & Auto Centers - Car Repair and Auto Shop,,True,https://www.gotodobbs.com/,9.0,5.0,0.0,1.0,0.0,1.0,1.0
gp.org,True,live,200.0,https://www.gp.org/,www.gp.org,,True,https://www.gp.org/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greatparks.org,True,live,200.0,https://www.greatparks.org/,Great Parks,,True,https://www.greatparks.org/,10.0,18.0,0.0,0.0,0.0,1.0,1.0
gunmemorial.org,True,live,200.0,https://gunmemorial.org/,National Gun Violence Memorial,,True,https://gunmemorial.org/,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hellotds.com,True,live,200.0,https://hellotds.com/,"Home and Business Internet, TV and Phone Service | Up to 2Gig - TDS",,True,https://hellotds.com/,9.0,6.0,0.0,0.0,0.0,1.0,1.0
hentairead.com,True,network_filtered,200.0,http://wired.meraki.com/,Cisco Meraki,https: ConnectionError,True,https://hentairead.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heraldtimesonline.com,True,live,200.0,https://www.heraldtimesonline.com/,"The Herald-Times: Local News, Politics & Sports in Bloomington, IN",,True,https://www.heraldtimesonline.com/,68.0,22.0,0.0,0.0,1.0,0.0,1.0
highvoltagedetox.com,True,live,200.0,https://www.highvoltagedetox.com/,"High Voltage Detox Home - Offering Fast, Safe, Effective Detox Products",,True,https://www.highvoltagedetox.com/,5.0,6.0,1.0,0.0,1.0,0.0,0.0
hitpredictor.com,True,dead,,,,http: ConnectTimeout,False,,,,,,,,
hometalk.com,True,live,200.0,https://www.hometalk.com,DIY Projects for the Home | Hometalk,,True,https://www.hometalk.com/,59.0,151.0,0.0,0.0,0.0,0.0,1.0
howoldamicalc.com,True,dead,,,,http: ReadTimeout,True,https://howoldamicalc.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hpinstantink.com,True,redirect,200.0,https://instantink.hpconnected.com/us/en/l/v2?jumpid=va_65bsqvipye,,,True,https://instantink.hpconnected.com/us/en/l/v2?jumpid=va_65bsqvipye,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hudsonjeans.com,True,live,200.0,https://www.hudsonjeans.com/,"Expertly crafted denim with an effortless, rebellious style - Shop Denim and Apparel for Women, Men and Kids from Hudson Jeans. Designed in Los Angeles.",,False,,,,,,,,
ibanking-services.com,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
ibotta.com,True,live,200.0,https://ibotta.com/,Ibotta | Performance Marketing Leader,,True,https://ibotta.com/,1.0,0.0,0.0,0.0,0.0,0.0,0.0
icbf-congress.com,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
igodigital.com,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
il.gov,True,http_error,401.0,http://il.gov/,401 - Unauthorized: Access is denied due to invalid credentials.,https: ConnectionError,False,,,,,,,,
imaginepay.com,True,live,200.0,https://imaginepay.com/,Home,,True,https://imaginepay.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impactcdn.com,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
indy100.com,True,live,200.0,https://www.indy100.com/,Indy100 | News | Politics | YouTube and TikTok News,,True,https://www.indy100.com/,61.0,135.0,0.0,0.0,0.0,0.0,1.0
inmoment.com,True,live,200.0,https://inmoment.com/,Integrated Customer Experience Solutions with AI | InMoment,,True,https://inmoment.com/,1.0,2.0,0.0,0.0,0.0,0.0,0.0
insboys.com,True,live,200.0,http://insboys.com/,人生就是搏·(中国)集团,https: ConnectionError,False,,,,,,,,
insights-today.com,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
instiengage.com,True,dead,,,,http: ReadTimeout,True,https://instiengage.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intuit.me,True,redirect,200.0,https://bitly.com/pages/landing/branded-short-domains-powered-by-bitly?bsd=intuit.me,Custom Domain by Bitly,,True,https://bitly.com/pages/landing/branded-short-domains-powered-by-bitly?bsd=intuit.me,3.0,1.0,0.0,0.0,0.0,0.0,0.0
ipinfo.io,True,live,200.0,https://ipinfo.io/,IP Data Intelligence for Developers & Enterprises | IPinfo,,False,,,,,,,,
justcreative.com,True,live,200.0,https://justcreative.com/,Brand Designer & Strategist - Branding Agency JUST™ Creative,,True,https://justcreative.com/,7.0,1.0,0.0,1.0,0.0,0.0,1.0
key.com,True,dead,,,,http: ReadTimeout,False,,,,,,,,
legionfarm.com,True,redirect,200.0,https://lfcarry.com/,"LFCarry | Pro Boosts & Carries — Destiny 2, WoW Midnight, COD & More",,True,https://lfcarry.com/,7.0,2.0,1.0,0.0,0.0,1.0,1.0
lendtra.com,True,redirect,200.0,https://domains.atom.com/lpd/name/lendtra.com,Lendtra.com — Premium Domain For Sale | Atom,,True,https://domains.atom.com/lpd/name/lendtra.com,12.0,30.0,0.0,0.0,0.0,0.0,1.0
