outcome,term,b,se,p
top_org_share,Race: Asian,0.005005847584404893,0.030843794295618423,0.8710721735558697
top_org_share,Race: Hispanic,-4.973548741944028e-05,0.014616026638341714,0.9972849597270469
top_org_share,Race: Other,-0.0005623042172429246,0.021928511941462794,0.9795424016350737
top_org_share,Educ: Some college,0.0209721810176427,0.012470166691924878,0.09260988932854922
top_org_share,Educ: College,0.03604469500219495,0.013481612776271523,0.007503766607207274
top_org_share,Educ: Postgraduate,0.05660858893454786,0.016770309250883537,0.0007367514493838468
top_org_share,Age: 25--34,-0.030964852915596128,0.02109329921049292,0.14210564364893216
top_org_share,Age: 35--49,-0.039135411833865985,0.019644920246458714,0.046355808582207045
top_org_share,Age: 50--64,-0.06780962228456969,0.018889666941620496,0.0003309656532030206
top_org_share,Age: 65+,-0.06440204429950983,0.018799315694813298,0.0006130697722595647
